oos,atc,latency,trf_avg,perfect_order,GMV_cur,retention
0.026679042110658663,105,1759,1,0,2944,0.6805315674203407
0.008895686398259314,14,655,0,0,1172,0.36901240799856605
0.04064427333022391,86,103,0,0,2899,0.7844806627510995
0.09103323456199694,59,2588,1,1,608,0.015087459932990877
0.026767549863967566,235,275,0,0,2065,0.2576548451867091
0.1044658028425779,195,2461,0,0,2481,0.3198424926511856
0.07254779544846973,204,1635,0,1,322,0.372198647334977
0.0742629476265324,11,2350,1,1,342,0.22893015758256763
0.024105685365270843,10,2596,0,1,2526,0.2519251967600157
0.057976971960300314,168,1972,1,0,2082,0.10766242237158896
0.017865322904738037,55,1185,0,1,866,0.6613689450907386
0.10083944973012149,102,569,0,1,1651,0.6274420624890326
0.017974756342745563,221,564,0,1,1399,0.4784126514713938
0.04876504288756439,0,2974,0,0,1568,0.6497313572689346
0.07829921048366298,59,1245,0,1,2499,0.6905501719266743
0.10423774532847095,217,2286,1,0,564,0.4714723157392874
0.11071803965931758,182,2194,1,1,665,0.7850694873159807
0.041082370771734475,152,673,0,1,2905,0.2484999690796652
0.0030111716924712956,25,2704,0,1,2241,0.2963522035439198
0.06476750765227068,216,2505,1,1,292,0.3350528858002543
0.038036256684844144,82,2436,1,1,1882,0.4414475977381076
0.04219091522436086,11,950,0,0,63,0.97042902849216
0.06489039353562505,15,1159,0,1,2589,0.8935637554067158
0.0581440966649488,29,944,1,0,2808,0.26229633599840296
0.07767277382789656,46,2453,1,0,2246,0.9883629574281525
0.07896873314109039,34,2565,1,0,2880,0.6499174864325986
0.07167053269458319,168,2824,0,1,2424,0.4827331012281474
0.0857730488828358,42,636,0,0,1739,0.8190248145327794
0.073872534385674,12,2079,0,0,2532,0.9611794961627474
0.06958459326882926,139,995,1,0,2941,0.7114341742809073
0.033835510396764176,205,892,1,1,708,0.9720994879223418
0.030430540974819148,98,1614,0,0,2946,0.5072058032795336
0.021586227984491044,88,673,1,1,2438,0.6583543173621088
0.05492451453704575,190,2563,1,0,1399,0.5286789285994781
0.01366124195985971,60,528,0,0,2608,0.49082414502412
